Frequency,Gain,Phase
1.0,4.306884000769347e-06,3.140131274924364
1.0717734625362931,4.947334065510062e-06,3.140229132225526
1.1486983549970349,5.683025762853695e-06,3.1403204358657075
1.231144413344916,6.528123846936461e-06,3.140405624683776
1.319507910772894,7.498900140016214e-06,3.140485108129461
1.4142135623730947,8.614047103286841e-06,3.1405592682310752
1.5157165665103978,9.895038116096567e-06,3.1406284614314917
1.6245047927124707,1.1366541434906086e-05,3.140693020301185
1.7411011265922478,1.3056895848221805e-05,3.1407532551365662
1.8660659830736144,1.4998657246660099e-05,3.140809455451284
1.9999999999999996,1.7229226712585297e-05,3.1408618913676603
2.143546925072586,1.979157232965364e-05,3.1409108149149354
2.2973967099940693,2.273505875188171e-05,3.1409564612405676
2.4622888266898317,2.6116400692685045e-05,3.1409990497404006
2.6390158215457875,3.0000758941144875e-05,3.1410387851131323
2.828427124746189,3.4463000337437135e-05,3.141075858344145
3.0314331330207946,3.9589146402591185e-05,3.1411104476234324
3.2490095854249406,4.547803909069664e-05,3.1411427192020263
3.4822022531844947,5.2243256498014995e-05,3.1411728281910434
3.7321319661472274,6.001531642181563e-05,3.1412009193071855
3.9999999999999973,6.894421152882662e-05,3.141227127568282
4.28709385014517,7.920232670744305e-05,3.141251578942208
4.594793419988137,9.09877971042575e-05,3.141274390952307
4.924577653379662,0.00010452837458142889,3.1412956732422113
5.278031643091573,0.00012008588111399942,3.141315528102786
5.656854249492376,0.00013796134026175093,3.141334050963721
6.0628662660415875,0.00015850089264576024,3.1413513308521304
6.4980191708498785,0.00018210261875888648,3.141367450820365
6.964404506368987,0.00020922441296112522,3.1413824883450783
7.464263932294452,0.0002403930767951914,3.14139651569948
7.999999999999992,0.00027621482859876176,3.141409600300533
8.574187700290336,0.0003173874607781078,3.14142180503278
9.18958683997627,0.00036471441728702024,3.141433188550326
9.84915530675932,0.0004191211133960626,3.141443805558435
10.556063286183143,0.00048167387973774956,3.1414537070760593
11.313708498984749,0.0005536019854290559,3.1414629406805634
12.125732532083171,0.0006363232840955527,3.1414715507357833
12.996038341699753,0.0007314741361190746,3.1414795786044913
13.92880901273797,0.0008409443959735065,3.1414870628462515
14.9285278645889,0.0009669184224213038,3.1414940394015742
15.99999999999998,0.0011119232813049413,3.1415005417631883
17.14837540058067,0.001278885578597333,3.1415066011351884
18.379173679952537,0.0014711987026191974,3.141512246580726
19.698310613518636,0.0016928026923691004,3.1415175051588338
21.112126572366282,0.0019482795157884124,3.141522402050887
22.627416997969494,0.0022429672816130777,3.1415269606771203
24.25146506416634,0.002583097882536784,3.141531202803492
25.992076683399503,0.0029759638617136985,3.1415351486390843
27.857618025475936,0.0034301220310683435,3.1415388169240686
29.857055729177798,0.003955643723224745,3.1415422250080702
31.999999999999957,0.0045644247827067806,3.141545388918541
34.29675080116134,0.0052705728691542966,3.1415483234184074
36.75834735990507,0.006090895911284338,3.1415510420518484
39.39662122703727,0.007045524456070491,3.1415535571764344
42.224253144732565,0.008158713496656363,3.141555879979021
45.25483399593899,0.00945988816052375,3.141558020471542
48.50293012833268,0.010985025630710696,3.141559987461026
51.984153366799006,0.012778508132256007,3.1415617884854026
55.71523605095187,0.014895647548910181,3.141563429702412
59.714111458355596,0.017406186322629583,3.141564915712204
63.999999999999915,0.020399248305422082,3.141566249283326
68.59350160232268,0.02399049551695133,3.1415674309336
73.51669471981015,0.02833273341754564,3.141568458286051
78.79324245407454,0.03363207710275934,3.1415693250640375
84.44850628946513,0.04017341103235531,3.1415700194854295
90.50966799187798,0.048362041123672185,3.1415705216118295
97.00586025666536,0.05879498378511869,3.141570798787434
103.96830673359801,0.07238980906999852,3.1415707973704285
111.43047210190375,0.09063367892032417,3.1415704267243747
119.42822291671119,0.1161074785831437,3.141569525497789
127.99999999999983,0.1537195469509427,3.1415677822197265
137.18700320464535,0.21409638363718644,3.1415645170331974
147.0333894396203,0.3253390751807766,3.141557924864405
157.5864849081491,0.594043033949673,3.1415411471507753
168.89701257893026,2.114068850523465,3.14144376762906
181.01933598375595,1.7221884043764955,9.851588920904322e-05
194.01172051333072,0.6675850065046833,3.101867166198918e-05
207.93661346719603,0.4354499428180516,1.6434097554956415e-05
222.8609442038075,0.3342644301172392,1.0246812486843363e-05
238.85644583342238,0.2780231648599862,6.922621840308618e-06
255.99999999999966,0.24250292428051565,4.904532386883992e-06
274.3740064092907,0.21823094212009236,3.5849900576356675e-06
294.0667788792406,0.20073988951721267,2.6785287368436257e-06
315.1729698162982,0.18764700728198333,2.0337392624690924e-06
337.7940251578605,0.17756486949967953,1.5631536837978446e-06
362.0386719675119,0.16963056095679566,1.2129411539085936e-06
388.02344102666143,0.16327905770624326,9.483248257454528e-07
415.87322693439205,0.15812479669472063,7.459635652716203e-07
445.721888407615,0.15389561666184928,5.897051048627232e-07
477.71289166684477,0.15039390462706018,4.680905498337443e-07
511.9999999999993,0.14747271430492678,3.728226709296407e-07
548.7480128185814,0.14502053000738235,2.977906989212069e-07
588.1335577584812,0.14295123060356568,2.384298034060228e-07
630.3459396325964,0.1411972926934922,1.9128900726272629e-07
675.588050315721,0.13970507392817155,1.5373290165370933e-07
724.0773439350238,0.1384314683461868,1.237315552165006e-07
776.0468820533229,0.13734148835734444,9.970992670875121e-08
831.7464538687841,0.13640648596713492,8.043826041699501e-08
891.44377681523,0.13560282346571548,6.495123039143323e-08
955.4257833336895,0.13491086565871166,5.2487583723762505e-08
1000.0,0.13450853824327583,4.5640498127379975e-08
